100,286
fromId,toId,d,c1
25,63,2,2
63,25,2,2
40,77,2,1
77,40,2,1
51,63,2,1
63,51,2,1
2,10,3,2
10,2,3,2
9,90,3,3
90,9,3,3
13,75,3,2
75,13,3,2
8,10,4,4
10,8,4,4
14,42,4,3
42,14,4,3
37,77,4,3
77,37,4,3
43,88,4,3
88,43,4,3
64,72,4,4
72,64,4,4
28,44,5,4
44,28,5,4
2,54,6,4
54,2,6,4
4,40,7,7
40,4,7,7
5,97,7,8
97,5,7,8
19,89,7,7
89,19,7,7
34,38,7,6
38,34,7,6
36,44,7,8
44,36,7,8
76,94,7,5
94,76,7,5
3,71,8,8
71,3,8,8
9,97,8,7
97,9,8,7
22,40,8,9
40,22,8,9
31,95,8,7
95,31,8,7
45,98,8,8
98,45,8,8
48,57,8,7
57,48,8,7
60,80,8,8
80,60,8,8
80,96,8,8
96,80,8,8
7,87,9,10
87,7,9,10
19,73,9,9
73,19,9,9
23,91,9,9
91,23,9,9
24,29,9,8
29,24,9,8
24,54,9,9
54,24,9,9
27,55,9,9
55,27,9,9
29,81,9,10
81,29,9,10
35,80,9,8
80,35,9,8
46,56,9,8
56,46,9,8
64,66,9,8
66,64,9,8
0,75,10,8
75,0,10,8
1,13,10,9
13,1,10,9
3,86,10,10
86,3,10,10
18,33,10,10
33,18,10,10
42,79,10,10
79,42,10,10
45,47,10,10
47,45,10,10
56,73,10,9
73,56,10,9
60,61,10,7
61,60,10,7
62,74,10,10
74,62,10,10
6,51,11,11
51,6,11,11
30,32,11,10
32,30,11,10
42,67,11,12
67,42,11,12
49,62,11,9
62,49,11,9
70,85,11,11
85,70,11,11
0,51,12,12
51,0,12,12
2,50,12,11
50,2,12,11
22,49,12,12
49,22,12,12
26,76,12,13
76,26,12,13
28,68,12,12
68,28,12,12
39,52,12,11
52,39,12,11
46,47,12,11
47,46,12,11
70,89,12,10
89,70,12,10
9,37,13,13
37,9,13,13
11,20,13,12
20,11,13,12
12,47,13,14
47,12,13,14
33,41,13,13
41,33,13,13
53,82,13,14
82,53,13,14
58,92,13,12
92,58,13,12
73,98,13,12
98,73,13,12
92,93,13,14
93,92,13,14
21,65,14,13
65,21,14,13
26,68,14,13
68,26,14,13
78,84,14,14
84,78,14,14
30,84,15,16
84,30,15,16
34,91,15,13
91,34,15,13
43,68,15,15
68,43,15,15
15,71,16,17
71,15,16,17
20,21,16,15
21,20,16,15
39,55,16,15
55,39,16,15
48,79,16,16
79,48,16,16
56,70,16,15
70,56,16,15
66,84,16,16
84,66,16,16
7,50,17,15
50,7,17,15
15,74,17,15
74,15,17,15
21,43,17,14
43,21,17,14
22,82,17,11
82,22,17,11
45,56,17,14
56,45,17,14
53,69,17,15
69,53,17,15
64,99,17,16
99,64,17,16
65,88,17,17
88,65,17,17
74,97,17,19
97,74,17,19
40,74,18,18
74,40,18,18
44,88,18,14
88,44,18,14
52,95,18,17
95,52,18,17
0,17,19,18
17,0,19,18
1,6,19,17
6,1,19,17
4,90,19,17
90,4,19,17
6,57,19,19
57,6,19,19
18,19,20,21
19,18,20,21
59,89,20,18
89,59,20,18
72,78,20,23
78,72,20,23
4,69,21,18
69,4,21,18
5,15,22,20
15,5,22,20
11,61,22,20
61,11,22,20
32,87,22,18
87,32,22,18
36,83,22,20
83,36,22,20
18,59,23,22
59,18,23,22
23,86,23,21
86,23,23,21
57,67,23,24
67,57,23,24
65,83,23,24
83,65,23,24
67,91,23,21
91,67,23,21
16,35,24,24
35,16,24,24
20,76,24,22
76,20,24,22
29,45,24,26
45,29,24,26
35,46,24,22
46,35,24,22
35,85,24,28
85,35,24,28
41,81,24,21
81,41,24,21
48,58,24,26
58,48,24,26
59,90,24,25
90,59,24,25
61,93,24,23
93,61,24,23
81,95,24,24
95,81,24,24
1,38,25,31
38,1,25,31
12,16,25,25
16,12,25,25
27,69,25,23
69,27,25,23
81,98,25,24
98,81,25,24
8,95,27,28
95,8,27,28
16,78,27,24
78,16,27,24
58,85,28,31
85,58,28,31
5,14,29,26
14,5,29,26
14,59,29,33
59,14,29,33
24,47,29,33
47,24,29,33
21,93,30,28
93,21,30,28
33,69,30,30
69,33,30,30
48,63,30,36
63,48,30,36
34,57,32,29
57,34,32,29
41,52,32,35
52,41,32,35
12,54,34,34
54,12,34,34
25,65,35,31
65,25,35,31
17,83,36,40
83,17,36,40
63,93,38,39
93,63,38,39
67,71,38,43
71,67,38,43
3,62,39,36
62,3,39,36
31,50,41,38
50,31,41,38
70,79,44,45
79,70,44,45
94,96,52,47
96,94,52,47
94,99,55,58
99,94,55,58
