250,722
fromId,toId,d,u1
3,235,1,2
235,3,1,2
37,133,2,4
133,37,2,4
79,105,2,2
105,79,2,2
95,161,2,3
161,95,2,3
107,207,2,3
207,107,2,3
187,220,2,3
220,187,2,3
1,89,3,2
89,1,3,2
3,149,3,1
149,3,3,1
8,43,3,4
43,8,3,4
13,123,3,6
123,13,3,6
36,95,3,2
95,36,3,2
53,123,3,2
123,53,3,2
58,246,3,3
246,58,3,3
152,154,3,5
154,152,3,5
184,198,3,6
198,184,3,6
1,33,4,2
33,1,4,2
12,76,4,2
76,12,4,2
35,61,4,1
61,35,4,1
45,247,4,2
247,45,4,2
88,201,4,1
201,88,4,1
102,187,4,2
187,102,4,2
170,218,4,6
218,170,4,6
196,223,4,3
223,196,4,3
14,141,5,3
141,14,5,3
25,203,5,3
203,25,5,3
30,38,5,9
38,30,5,9
42,178,5,3
178,42,5,3
56,241,5,7
241,56,5,7
73,140,5,3
140,73,5,3
74,176,5,10
176,74,5,10
80,116,5,6
116,80,5,6
92,226,5,5
226,92,5,5
93,243,5,4
243,93,5,4
109,201,5,9
201,109,5,9
118,185,5,8
185,118,5,8
206,210,5,2
210,206,5,2
3,209,6,2
209,3,6,2
27,183,6,8
183,27,6,8
32,46,6,10
46,32,6,10
109,152,6,2
152,109,6,2
115,184,6,12
184,115,6,12
123,172,6,11
172,123,6,11
142,164,6,9
164,142,6,9
9,27,7,5
27,9,7,5
12,60,7,4
60,12,7,4
21,205,7,7
205,21,7,7
31,203,7,5
203,31,7,5
78,100,7,5
100,78,7,5
98,169,7,13
169,98,7,13
101,203,7,9
203,101,7,9
128,159,7,12
159,128,7,12
143,153,7,10
153,143,7,10
155,162,7,5
162,155,7,5
159,170,7,13
170,159,7,13
171,218,7,3
218,171,7,3
0,144,8,8
144,0,8,8
11,17,8,8
17,11,8,8
18,246,8,11
246,18,8,11
19,169,8,5
169,19,8,5
23,91,8,9
91,23,8,9
24,242,8,5
242,24,8,5
25,72,8,3
72,25,8,3
41,144,8,3
144,41,8,3
42,151,8,11
151,42,8,11
65,87,8,16
87,65,8,16
70,92,8,10
92,70,8,10
82,213,8,14
213,82,8,14
82,238,8,10
238,82,8,10
111,151,8,15
151,111,8,15
239,249,8,16
249,239,8,16
14,64,9,7
64,14,9,7
16,30,9,14
30,16,9,14
20,239,9,8
239,20,9,8
32,106,9,4
106,32,9,4
36,179,9,12
179,36,9,12
69,108,9,17
108,69,9,17
81,178,9,17
178,81,9,17
114,147,9,7
147,114,9,7
133,239,9,2
239,133,9,2
140,170,9,1
170,140,9,1
156,176,9,5
176,156,9,5
228,237,9,17
237,228,9,17
5,69,10,1
69,5,10,1
5,125,10,15
125,5,10,15
11,84,10,16
84,11,10,16
20,205,10,11
205,20,10,11
26,236,10,3
236,26,10,3
29,222,10,8
222,29,10,8
44,56,10,17
56,44,10,17
53,134,10,6
134,53,10,6
56,136,10,15
136,56,10,15
57,107,10,2
107,57,10,2
89,222,10,14
222,89,10,14
104,112,10,19
112,104,10,19
115,212,10,16
212,115,10,16
121,249,10,18
249,121,10,18
124,217,10,15
217,124,10,15
137,180,10,19
180,137,10,19
137,245,10,19
245,137,10,19
143,145,10,20
145,143,10,20
4,97,11,6
97,4,11,6
6,162,11,9
162,6,11,9
9,187,11,7
187,9,11,7
21,37,11,10
37,21,11,10
22,112,11,10
112,22,11,10
24,59,11,8
59,24,11,8
27,178,11,19
178,27,11,19
46,66,11,16
66,46,11,16
58,177,11,13
177,58,11,13
75,151,11,1
151,75,11,1
85,164,11,1
164,85,11,1
86,219,11,12
219,86,11,12
93,97,11,16
97,93,11,16
103,208,11,20
208,103,11,20
113,116,11,4
116,113,11,4
117,216,11,12
216,117,11,12
130,138,11,16
138,130,11,16
191,223,11,15
223,191,11,15
229,242,11,10
242,229,11,10
7,91,12,13
91,7,12,13
29,68,12,7
68,29,12,7
35,181,12,16
181,35,12,16
55,165,12,21
165,55,12,21
66,244,12,7
244,66,12,7
67,90,12,20
90,67,12,20
69,164,12,17
164,69,12,17
78,122,12,24
122,78,12,24
85,125,12,4
125,85,12,4
108,230,12,23
230,108,12,23
114,161,12,3
161,114,12,3
142,209,12,17
209,142,12,17
177,204,12,18
204,177,12,18
195,210,12,17
210,195,12,17
7,101,13,23
101,7,13,23
14,241,13,18
241,14,13,18
20,148,13,19
148,20,13,19
28,175,13,16
175,28,13,16
40,77,13,23
77,40,13,23
41,206,13,20
206,41,13,20
47,133,13,11
133,47,13,11
47,249,13,3
249,47,13,3
52,172,13,5
172,52,13,5
63,143,13,16
143,63,13,16
64,190,13,25
190,64,13,25
70,90,13,19
90,70,13,19
84,228,13,7
228,84,13,7
86,96,13,3
96,86,13,3
118,134,13,24
134,118,13,24
120,189,13,11
189,120,13,11
124,166,13,1
166,124,13,1
138,243,13,2
243,138,13,2
150,180,13,14
180,150,13,14
190,237,13,6
237,190,13,6
194,205,13,22
205,194,13,22
45,150,14,12
150,45,14,12
65,74,14,5
74,65,14,5
74,212,14,1
212,74,14,1
87,92,14,8
92,87,14,8
135,156,14,27
156,135,14,27
137,233,14,1
233,137,14,1
149,166,14,26
166,149,14,26
200,244,14,15
244,200,14,15
214,219,14,18
219,214,14,18
13,96,15,2
96,13,15,2
16,174,15,25
174,16,15,25
19,225,15,6
225,19,15,6
40,175,15,28
175,40,15,28
47,139,15,2
139,47,15,2
73,122,15,4
122,73,15,4
78,188,15,18
188,78,15,18
81,111,15,29
111,81,15,29
81,183,15,25
183,81,15,25
105,167,15,9
167,105,15,9
125,202,15,18
202,125,15,18
129,213,15,20
213,129,15,20
132,227,15,23
227,132,15,23
139,150,15,11
150,139,15,11
181,245,15,20
245,181,15,20
216,240,15,23
240,216,15,23
6,99,16,18
99,6,16,18
10,132,16,32
132,10,16,32
18,199,16,5
199,18,16,5
33,174,16,14
174,33,16,14
46,158,16,27
158,46,16,27
48,175,16,15
175,48,16,15
51,227,16,22
227,51,16,22
59,236,16,23
236,59,16,23
64,136,16,15
136,64,16,15
71,81,16,27
81,71,16,27
85,186,16,31
186,85,16,31
101,230,16,30
230,101,16,30
129,165,16,23
165,129,16,23
131,197,16,4
197,131,16,4
173,189,16,26
189,173,16,26
182,198,16,1
198,182,16,1
183,220,16,5
220,183,16,5
192,221,16,18
221,192,16,18
204,244,16,7
244,204,16,7
0,158,17,3
158,0,17,3
4,138,17,15
138,4,17,15
8,54,17,12
54,8,17,12
15,227,17,12
227,15,17,12
23,104,17,26
104,23,17,26
26,162,17,24
162,26,17,24
39,221,17,22
221,39,17,22
77,232,17,19
232,77,17,19
98,215,17,7
215,98,17,7
119,137,17,15
137,119,17,15
135,193,17,14
193,135,17,14
179,221,17,29
221,179,17,29
194,197,17,15
197,194,17,15
199,200,17,5
200,199,17,5
231,232,17,29
232,231,17,29
12,88,18,27
88,12,18,27
26,193,18,25
193,26,18,25
35,240,18,16
240,35,18,16
50,127,18,12
127,50,18,12
57,217,18,16
217,57,18,16
59,233,18,11
233,59,18,11
60,201,18,31
201,60,18,31
99,131,18,11
131,99,18,11
110,160,18,12
160,110,18,12
127,132,18,22
132,127,18,22
173,211,18,20
211,173,18,20
182,189,18,31
189,182,18,31
234,248,18,7
248,234,18,7
7,72,19,2
72,7,19,2
38,54,19,16
54,38,19,16
39,67,19,20
67,39,19,20
63,198,19,1
198,63,19,1
83,90,19,17
90,83,19,17
127,234,19,1
234,127,19,1
129,247,19,3
247,129,19,3
199,204,19,16
204,199,19,16
211,231,19,26
231,211,19,26
236,242,19,37
242,236,19,37
31,108,20,40
108,31,20,40
62,199,20,40
199,62,20,40
77,113,20,8
113,77,20,8
87,212,20,35
212,87,20,35
130,154,20,6
154,130,20,6
141,216,20,33
216,141,20,33
2,62,21,6
62,2,21,6
2,195,21,13
195,2,21,13
6,8,21,32
8,6,21,32
36,208,21,2
208,36,21,2
37,131,21,33
131,37,21,33
38,163,21,34
163,38,21,34
